Order,ST_NUM,ST_NAME,CITY,ZIPCODE,GIS_ID,TOTAL_SCORE,latitude,longitude,grid_code
0,38,COLUMBIA RD,DORCHESTER,2121,1400878000,65,42.30389054,-71.08333574,89
1,388,SEAVER ST,DORCHESTER,2121,1400991000,51,42.3039614,-71.08175457,89
2,407,SEAVER ST,DORCHESTER,2121,1400952000,59,42.30324609,-71.08137066,89
3,412,SEAVER ST,DORCHESTER,2121,1401013000,51,42.30342079,-71.08091178,89
4,31,GLENARM ST,DORCHESTER,2121,1400987000,51,42.30380654,-71.08114066,89
5,22,GLENARM ST,DORCHESTER,2121,1401026000,61,42.30383985,-71.08046169,89
6,19,MERRILL ST,DORCHESTER,2121,1401045000,59,42.30366333,-71.08000341,89
7,15,FENELON ST,DORCHESTER,2121,1401042000,59,42.30357052,-71.07967614,89
8,427,SEAVER ST,DORCHESTER,2121,1400959000,51,42.30269666,-71.08054559,89
9,425,SEAVER ST,DORCHESTER,2121,1400958000,60,42.30278713,-71.0806825,89
10,52,ERIE ST,DORCHESTER,2121,1401852000,61,42.30234472,-71.08027653,89
11,56,ERIE ST,DORCHESTER,2121,1401850000,51,42.30225818,-71.08049812,89
12,58,ERIE ST,DORCHESTER,2121,1401849000,61,42.30221184,-71.08061581,89
13,40,HEWINS ST,DORCHESTER,2121,1400965000,65,42.30282544,-71.08119881,89
14,20,HEWINS ST,DORCHESTER,2121,1400970000,57,42.30329035,-71.08189486,89
15,15,HEWINS ST,DORCHESTER,2121,1400921000,51,42.30318489,-71.08239063,89
16,18,WOLCOTT ST,DORCHESTER,2121,1400940000,57,42.30302068,-71.08255278,89
17,22,WOLCOTT ST,DORCHESTER,2121,1400939000,57,42.30292145,-71.08241858,89
18,2,MICHIGAN AV,DORCHESTER,2121,1401917000,57,42.30313117,-71.08381025,89
19,14,MICHIGAN AV,DORCHESTER,2121,1401912000,61,42.30265038,-71.08311402,89
20,25,MICHIGAN AV,DORCHESTER,2121,1402471000,60,42.30229712,-71.08337377,89
21,132  138,ERIE ST,DORCHESTER,2121,1401781000,64,42.30118682,-71.08290657,89
22,81,ELLINGTON ST,DORCHESTER,2121,1401787000,59,42.3009918,-71.08214819,89
23,86,ELLINGTON ST,DORCHESTER,2121,1401883000,51,42.30137005,-71.08209753,89
24,136,ELLINGTON ST,DORCHESTER,2121,1401867000,60,42.30217575,-71.08007199,89
25,38,GREENWOOD ST,DORCHESTER,2121,1401675000,59,42.30083055,-71.0795885,89
26,54 A54,GREENWOOD ST,DORCHESTER,2121,1401679000,51,42.30026663,-71.07964527,89
27,24  26,HARLEM ST,DORCHESTER,2121,1401772000,57,42.30043361,-71.08104655,89
28,19,HARLEM ST,DORCHESTER,2121,1401731000,57,42.30002946,-71.0809345,89
29,12  14,HARLEM ST,DORCHESTER,2121,1401775000,57,42.30033803,-71.08153224,89
30,63,GLENWAY ST,DORCHESTER,2121,1402530001,76,42.30045879,-71.08333658,89
31,37,FOWLER ST,DORCHESTER,2121,1401748000,60,42.30043725,-71.08232784,89
32,36  38,FOWLER ST,DORCHESTER,2121,1401827000,57,42.30073283,-71.08245994,89
33,63  61,FOWLER ST,DORCHESTER,2121,1401755000,57,42.30066638,-71.08132394,89
34,83  81,FOWLER ST,DORCHESTER,2121,1401760000,58,42.30082942,-71.08061716,89
35,47,MCLELLAN ST,DORCHESTER,2121,1402746000,65,42.29981984,-71.08440669,89
36,44,MCLELLAN ST,DORCHESTER,2121,1402538000,51,42.30015457,-71.08392196,89
37,9,DRUMMOND ST,DORCHESTER,2121,1402514000,59,42.3008061,-71.084312,89
38,40 HF40,GLENWAY ST,DORCHESTER,2121,1402487000,61,42.30119261,-71.08385352,89
39,35,GLENWAY ST,DORCHESTER,2121,1402523000,59,42.30104512,-71.08445425,89
40,28,GLENWAY ST,DORCHESTER,2121,1402490000,76,42.30142597,-71.08408257,89
41,28,ELLINGTON ST,DORCHESTER,2121,1402459000,76,42.30225796,-71.083852,89
42,23,ELLINGTON ST,DORCHESTER,2121,1402503000,51,42.30202911,-71.08438219,89
43,38,COLUMBIA RD,DORCHESTER,2121,1400878000,65,42.30389054,-71.08333574,89